Negara         , Ibu Kota   , Benua  , Luas, Populasi
Indonesia      , Jakarta    , Asia   , 1905, 268
Jepang         , Tokyo      , Asia   , 977 , 126
India          , New Delhi  , Asia   , 3287, 1357
China          , Beijing    , Asia   , 9597, 1397
Amerika Serikat, Washington , Amerika, 9834, 329
Spanyol        , Madrid     , Eropa  , 505 , 47
Meksiko        , Mexico City, Amerika, 196 , 126
Jerman         , Berlin     , Eropa  , 357 , 83
Aljazair       , Algiers    , Afrika , 2381, 43
Inggris        , London     , Eropa  , 242 , 66
